Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
1786071,CONSTRUTORA TRIPOLO LTDA,2.4000000000000004,11609.241666666665,0.11902981030199361,7.0,0.0,7,0
1786062,RODOAGRO MOTORES GERADORES E REPRES,0.9,11410.288888888888,0.10189147027147037,1.0,0.0,1,0
1786053,"EMPOL PAVIMENTACOES, OBRAS E CONCRE",3.8200000000000003,11727.89005235602,0.1796284151932097,2.0,0.0,5,0
1785934,BURITI INDUSTRIA E COMERCIO DE AGUA,0.6900000000000001,12283.637681159418,0.18085328544747284,2.0,0.0,8,0
1785933,LINCE TRANSPORTES E LOGISTICA LTDA,0.12,11162.25,0.194270868328518,1.0,0.0,1,0
1785932,CENTRAIS ELETRICAS BRASILEIRAS SA E,11.6,12709.113793103448,0.2234620933172312,1.2,0.2,5,0
1785925,CENTRAIS ELETRICAS BRASILEIRAS SA E,13.350000000000001,13022.175280898875,0.20462203223035735,1.0,0.0,6,0
1785921,REVAL TRANSPORTES LTDA,5.17,9693.197292069633,0.11677135832563587,1.6666666666666667,0.0,6,0
1785372,CENTRAIS ELETRICAS BRASILEIRAS SA E,0.1,10951.399999999998,0.14911335537008968,1.0,0.0,2,0
1785371,CENTRAIS ELETRICAS BRASILEIRAS SA E,6.54,11580.435779816515,0.1881854150038192,1.25,0.0,5,0
9760,EMTRAM EMPRESA DE TRANSPORTES MACAU,0.21000000000000002,13301.809523809523,0.17191001582312468,2.0,0.0,2,0
9686,TRR NIPOBRAS CHAPADAO GAUCHO LTDA,9.0,12720.227777777778,0.2484503029077484,2.2857142857142856,0.0,12,0
9611,PETROL INDUSTRIAL SOCIEDADE ANONIMA,3.11,11701.2154340836,0.2715245455030093,2.9047619047619047,0.0,9,0
9603,UNIMETAL INDUSTRIA COMERCIO E EMPRE,8.21,13783.979293544457,0.14156993674893278,2.5714285714285716,0.0,9,0
9542,MUCAMBO S/A,1.28,12518.765625,0.17775938871768757,1.25,0.058823529411764705,4,0
9537,ORGANIZACAO LEAO DO NORTE LIMITADA,0.3,12219.733333333334,0.2066629931913408,1.5,0.0,3,0
9535,COMPANHIA VALENCA INDUSTRIAL,10.32,13072.14437984496,0.19707751844952873,1.6129032258064515,0.0,8,0
9509,MULTIFRIO BAHIA MANUTENCAO E REPARO,0.04,12156.75,0.3231538034425319,1.0,0.5,1,0
