cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
05565575000175,05565575,0001,75
01904566000100,01904566,0001,00
05151226000107,05151226,0001,07
08352952000186,08352952,0001,86
08352952000771,08352952,0007,71
08352952000933,08352952,0009,33
23452196000150,23452196,0001,50
23452196000312,23452196,0003,12
07569360000158,07569360,0001,58
17111121000103,17111121,0001,03
86418621000105,86418621,0001,05
36346393000560,36346393,0005,60
20605424000197,20605424,0001,97
19498344000362,19498344,0003,62
31599393000125,31599393,0001,25
26275420000174,26275420,0001,74
26275420000689,26275420,0006,89
08435402000120,08435402,0001,20
01047131000197,01047131,0001,97
29514686000110,29514686,0001,10
07392106000127,07392106,0001,27
07824760000162,07824760,0001,62
17273715000110,17273715,0001,10
41705476000105,41705476,0001,05
17244666000198,17244666,0001,98
05794941000168,05794941,0001,68
22432769001002,22432769,0010,02
00932703000158,00932703,0001,58
03802403000142,03802403,0001,42
17183633000185,17183633,0001,85
08877756000125,08877756,0001,25
16238339000403,16238339,0004,03
07740099000107,07740099,0001,07
17275140000175,17275140,0001,75
19712504000243,19712504,0002,43
18752691000145,18752691,0001,45
17277617000151,17277617,0001,51
17216672000131,17216672,0001,31
00506346000166,00506346,0001,66
04763393000812,04763393,0008,12
22690390000101,22690390,0001,01
03581702000102,03581702,0001,02
26970103000330,26970103,0003,30
09515262000163,09515262,0001,63
42942235000142,42942235,0001,42
03753733000195,03753733,0001,95
07553095000110,07553095,0001,10
17983307000152,17983307,0001,52
00003635246654,00003635,2466,54
23357072000196,23357072,0001,96
23357072000358,23357072,0003,58
00063471574034,00063471,5740,34
11701319000160,11701319,0001,60
16933590000145,16933590,0001,45
33328063000120,33328063,0001,20
03691134000194,03691134,0001,94
20688259000184,20688259,0001,84
05117323000183,05117323,0001,83
00438756000117,00438756,0001,17
00438756000206,00438756,0002,06
00438756000460,00438756,0004,60
00438756000621,00438756,0006,21
04804994000150,04804994,0001,50
03029662001073,03029662,0010,73
25385642000187,25385642,0001,87
10247620000183,10247620,0001,83
23359086000149,23359086,0001,49
13519943000177,13519943,0001,77
23814940000110,23814940,0001,10
09509052000243,09509052,0002,43
18710988000814,18710988,0008,14
18710988001110,18710988,0011,10
19076404000197,19076404,0001,97
18572225000692,18572225,0006,92
23138373000129,23138373,0001,29
18675364000137,18675364,0001,37
45615184000213,45615184,0002,13
45615184000566,45615184,0005,66
61260808000100,61260808,0001,00
53905543000386,53905543,0003,86
53905543000467,53905543,0004,67
53905543000114,53905543,0001,14
13057440000127,13057440,0001,27
00017688760615,00017688,7606,15
17551250000112,17551250,0001,12
20895426000249,20895426,0002,49
00007638972643,00007638,9726,43
20670048000114,20670048,0001,14
10932674000188,10932674,0001,88
33131541000108,33131541,0001,08
19942283000119,19942283,0001,19
11797051000102,11797051,0001,02
02832043000240,02832043,0002,40
17168907000167,17168907,0001,67
00021162280697,00021162,2806,97
19059849000169,19059849,0001,69
05616550000153,05616550,0001,53
13053302000331,13053302,0003,31
23637093000408,23637093,0004,08
23637093001641,23637093,0016,41
23637093001803,23637093,0018,03
14019956000140,14019956,0001,40
03029662000506,03029662,0005,06
22991045000108,22991045,0001,08
07600288000184,07600288,0001,84
13550095000169,13550095,0001,69
18500734000103,18500734,0001,03
16908824000102,16908824,0001,02
15752712000134,15752712,0001,34
11224676000185,11224676,0001,85
07039056000107,07039056,0001,07
17192048000141,17192048,0001,41
01524903000134,01524903,0001,34
72030828000284,72030828,0002,84
11838595000175,11838595,0001,75
32172058001342,32172058,0013,42
20709374000198,20709374,0001,98
59752048000107,59752048,0001,07
21400858000113,21400858,0001,13
19368927002150,19368927,0021,50
19368927002665,19368927,0026,65
19368927002312,19368927,0023,12
19368927000700,19368927,0007,00
19368927000107,19368927,0001,07
19368927001855,19368927,0018,55
19368927000611,19368927,0006,11
19368927003122,19368927,0031,22
19368927003394,19368927,0033,94
19368927004102,19368927,0041,02
19368927004447,19368927,0044,47
18654798000150,18654798,0001,50
41717984000103,41717984,0001,03
34940438000171,34940438,0001,71
00083223100644,00083223,1006,44
19553676000211,19553676,0002,11
23640204000273,23640204,0002,73
03875931000121,03875931,0001,21
03787516000116,03787516,0001,16
03091412000172,03091412,0001,72
27500978000179,27500978,0001,79
35294771000113,35294771,0001,13
04106832000148,04106832,0001,48
33962810000188,33962810,0001,88
12285626000170,12285626,0001,70
07673005000124,07673005,0001,24
07249377000128,07249377,0001,28
02588152000182,02588152,0001,82
26762312000126,26762312,0001,26
21473590000140,21473590,0001,40
08029379000760,08029379,0007,60
03332128000140,03332128,0001,40
04861311000104,04861311,0001,04
17874556000100,17874556,0001,00
36252373000105,36252373,0001,05
18603453000178,18603453,0001,78
19257633000108,19257633,0001,08
23693472000172,23693472,0001,72
05276956000134,05276956,0001,34
00830188000103,00830188,0001,03
00999591000152,00999591,0001,52
13004833000415,13004833,0004,15
07694266000120,07694266,0001,20
03656804000727,03656804,0007,27
15141799000103,15141799,0001,03
15141799004362,15141799,0043,62
15141799001690,15141799,0016,90
15141799000375,15141799,0003,75
04218039000130,04218039,0001,30
09628926000109,09628926,0001,09
01078990000224,01078990,0002,24
03861512000130,03861512,0001,30
08369748000178,08369748,0001,78
03822667000168,03822667,0001,68
03822667000249,03822667,0002,49
40917346000173,40917346,0001,73
13342753000470,13342753,0004,70
42509257000113,42509257,0001,13
03526090000147,03526090,0001,47
03526090000228,03526090,0002,28
03526090000309,03526090,0003,09
05989551000143,05989551,0001,43
03470759000126,03470759,0001,26
29067113013921,29067113,0139,21
29067113023560,29067113,0235,60
29067113022670,29067113,0226,70
29067113027710,29067113,0277,10
29067113028368,29067113,0283,68
29067113031741,29067113,0317,41
06248248000152,06248248,0001,52
11387927000142,11387927,0001,42
10425075000178,10425075,0001,78
06209606000118,06209606,0001,18
18826614000192,18826614,0001,92
19224134000114,19224134,0001,14
08220101000180,08220101,0001,80
07986997000140,07986997,0001,40
03357873000144,03357873,0001,44
29667227000509,29667227,0005,09
38711127000191,38711127,0001,91
04574838000140,04574838,0001,40
30653585000100,30653585,0001,00
13196196000183,13196196,0001,83
07269707000147,07269707,0001,47
07269707000813,07269707,0008,13
02494891000105,02494891,0001,05
06234633000140,06234633,0001,40
01459413000100,01459413,0001,00
07699082000153,07699082,0001,53
09005062000160,09005062,0001,60
03504437000150,03504437,0001,50
10426518000650,10426518,0006,50
13807082000122,13807082,0001,22
40882060000108,40882060,0001,08
40884405000154,40884405,0001,54
10509915000180,10509915,0001,80
05990040000141,05990040,0001,41
08005860000120,08005860,0001,20
05651892000104,05651892,0001,04
01682695000100,01682695,0001,00
01682695000525,01682695,0005,25
11390432000172,11390432,0001,72
55820583000350,55820583,0003,50
12273815000204,12273815,0002,04
00132104000583,00132104,0005,83
04471564000163,04471564,0001,63
04706416000180,04706416,0001,80
04813506000170,04813506,0001,70
82809088000666,82809088,0006,66
04051795000118,04051795,0001,18
12002804000109,12002804,0001,09
52105491000210,52105491,0002,10
02359445000279,02359445,0002,79
31059324000129,31059324,0001,29
08860991000194,08860991,0001,94
58551243000440,58551243,0004,40
03070664000115,03070664,0001,15
02617817000139,02617817,0001,39
09185877000250,09185877,0002,50
08811119000822,08811119,0008,22
35401447000157,35401447,0001,57
10882777000342,10882777,0003,42
13233740000110,13233740,0001,10
10851723000158,10851723,0001,58
09454325000119,09454325,0001,19
41037250000183,41037250,0001,83
01233983000179,01233983,0001,79
11782436000104,11782436,0001,04
70227608000139,70227608,0001,39
09116278000101,09116278,0001,01
45791369000106,45791369,0001,06
36106678000109,36106678,0001,09
07713983000152,07713983,0001,52
07539233000106,07539233,0001,06
18955549000103,18955549,0001,03
07534580000146,07534580,0001,46
07534580000227,07534580,0002,27
01857439000106,01857439,0001,06
10844611000170,10844611,0001,70
10788677000190,10788677,0001,90
09379165000190,09379165,0001,90
09354457000179,09354457,0001,79
11856283000194,11856283,0001,94
19694110000200,19694110,0002,00
11184785000701,11184785,0007,01
11184785000973,11184785,0009,73
11184785001198,11184785,0011,98
11184785000540,11184785,0005,40
11184785000388,11184785,0003,88
08181087000152,08181087,0001,52
05490747000199,05490747,0001,99
12762763000159,12762763,0001,59
12727145000682,12727145,0006,82
11179185000160,11179185,0001,60
10407005000197,10407005,0001,97
05621860000328,05621860,0003,28
04591114000104,04591114,0001,04
04591114000457,04591114,0004,57
12823282000106,12823282,0001,06
17428731014357,17428731,0143,57
17428731014438,17428731,0144,38
00860573000195,00860573,0001,95
12790622000140,12790622,0001,40
07803353000330,07803353,0003,30
00171428000105,00171428,0001,05
09929134000166,09929134,0001,66
05797054000143,05797054,0001,43
08714435000100,08714435,0001,00
01401630000130,01401630,0001,30
01401630000483,01401630,0004,83
01401630000807,01401630,0008,07
12613006000113,12613006,0001,13
12601233000200,12601233,0002,00
10687226000166,10687226,0001,66
41024043000194,41024043,0001,94
41070889000160,41070889,0001,60
24221368000148,24221368,0001,48
15115504000124,15115504,0001,24
09250085000130,09250085,0001,30
00007201001434,00007201,0014,34
09165028000153,09165028,0001,53
10471171000152,10471171,0001,52
08107369000100,08107369,0001,00
09107137000114,09107137,0001,14
08860280000110,08860280,0001,10
09609595000151,09609595,0001,51
10995939000197,10995939,0001,97
10495660000144,10495660,0001,44
06893578000109,06893578,0001,09
02275901000111,02275901,0001,11
08348609000591,08348609,0005,91
25165699000332,25165699,0003,32
42357483001106,42357483,0011,06
00779059000120,00779059,0001,20
15031293000141,15031293,0001,41
