cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,situacao_cadastral,uf,municipio,cnae_fiscal_principal,cnae_principal_descricao,cnae_fiscal_secundaria
34230979015219,34230979,0152,19,2,02,MG,4865,4299599,Outras obras de engenharia civil não especificadas anteriormente,
17851447000258,17851447,0002,58,2,02,DF,9701,3811400,Coleta de resíduos não-perigosos,3821100
18607519000106,18607519,0001,06,1,02,CE,1247,1052000,Fabricação de laticínios,4721103
18675364000137,18675364,0001,37,1,02,MG,5403,0810009,Extração de basalto e beneficiamento associado,"1921700,2013402,2330302,2399199,3821100,4313400,4683400,4687702"
18988028000144,18988028,0001,44,1,02,SP,6967,4669901,Comércio atacadista de bombas e compressores; partes e peças,"3314704,3321000,3329599,4614100,4663000,4669999,4681805,4744003,7112000,7739099"
07078042000518,07078042,0005,18,2,02,SP,2971,0131800,Cultivo de laranja,6463800
19119357000111,19119357,0001,11,1,02,GO,9439,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.","3701100,4120400,4211101,4212000,4213800,4221902,4221903,4221905,4222701,4222702,4313400,4321500,4322301,4330401,4330404,4330499,4391600,4399101,4399103,7111100,7112000,7119701,7732201"
19312473000152,19312473,0001,52,1,02,MG,4941,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","4924800,4929901,4929999"
13158783000188,13158783,0001,88,1,02,PE,2531,2512800,Fabricação de esquadrias de metal,"2539001,2539002,2823200,4671100,4672900,4679601,4679603,4679699,4685100"
19446670000164,19446670,0001,64,1,02,SP,0818,0151201,Criação de bovinos para corte,
02162905000355,02162905,0003,55,2,02,MG,5335,0134200,Cultivo de café,"0111302,0111399,0115600,0151201,6463800"
17776751000105,17776751,0001,05,1,02,BA,3429,4930203,Transporte rodoviário de produtos perigosos,"4930202,4930204"
10376555000609,10376555,0006,09,2,02,PA,0425,3530100,"Produção e distribuição de vapor, água quente e ar condicionado",3821100
20146725000108,20146725,0001,08,1,02,RJ,5885,3312103,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,"4520001,4520002,4520007,4530701,4530702,4530703,4530705"
20658534000117,20658534,0001,17,1,02,MG,5393,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),"4530701,4681805,4732600,4789099,4930201,4930203"
20739103000185,20739103,0001,85,1,02,MT,9191,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"0990403,4689301"
18494537000463,18494537,0004,63,2,02,PA,0631,3511501,Geração de energia elétrica,
14809173000321,14809173,0003,21,2,02,SP,6831,4930203,Transporte rodoviário de produtos perigosos,"4921301,4922101,4929902,4930202,6462000,4921302,4929999,8129000,4929901,0161099"
21146066000164,21146066,0001,64,1,02,ES,5705,7711000,Locação de automóveis sem condutor,"4923002,4924800,4929901,4929902,4929903,4929904,5212500,7820500,7911200,7912100,8230001,9319101"
03585304000741,03585304,0007,41,2,02,RN,1741,4299599,Outras obras de engenharia civil não especificadas anteriormente,4399199
00528786000203,00528786,0002,03,2,02,DF,9701,4313400,Obras de terraplenagem,"4110700,4213800,4299599"
